,domain,num_iframes,has_social_media,num_images,has_og_tag,has_twitter_tag,has_description,has_keywords,keywords_in_tag,description_in_tag,contains digit,contains hyphen,length,novelty tld,contains news,newsy domain,has domain ip,domain asn,domain geoloc,domain validated,has expired,self signed,cert lifetime,san length,issuer country,issuer org,san contains wildcard,has cert,creation elapsed time,time to expiration,time from updated,whois lifetime,domain proxy,registrar,registrant country,registrant org,nameserver sld,nameserver asn,nameserver geoloc,target
10,sensoincomum.org,14,True,114,True,True,True,False,,"['Senso Incomum é um portal de cultura e política com idéias contra a corrente, o óbvio e as explicações fáceis do jornalismo e da Academia.']",False,False,16,False,False,False,True,29802,US,True,False,False,90.0,1.0,US,Let's Encrypt,True,True,1270.0,2018.0,-1332.0,3288.0,True,"GoDaddy.com, LLC",US,"Domains By Proxy, LLC",viahospedagem.com.br,14061,US,disinformation
11,regnum.ru,0,,,True,True,True,True,"['новости, события, мнения, аналитика, Россия, Европа, Азия, мир, информация']","['Федеральное информационное агентство. Сфера вещания ИА REGNUM охватывает все регионы России и сопредельные государства Европы, Средней Азии и Закавказья.']",False,False,9,False,False,False,True,210756,RU,True,False,False,90.0,1.0,US,Let's Encrypt,True,True,6215.0,1821.0,,8036.0,False,RD-RU,,OOO Regnum,nic.ru,48287,RU,disinformation
12,curapelanatureza.com.br,8,True,66,,,,,,,False,False,23,True,False,False,True,13335,US,False,False,False,365.0,2.0,US,"Cloudflare, Inc.",True,True,2295.0,3549.0,-968.0,5844.0,N/A,,,,,,,disinformation
13,tass.com,2,False,3,True,False,True,False,,"['Since 1904 TASS has been Russia’s leading news agency. For more than 113 years, TASS has ceaselessly strived to deliver the latest and most accurate news from around the world']",False,False,8,False,False,False,True,43298,RU,True,False,False,397.0,1.0,BE,GlobalSign nv-sa,True,True,9301.0,1655.0,-1289.0,10956.0,False,"Regional Network Information Center, JSC dba RU-CENTER",RU,FGUP Information Agency ITAR-TASS,tass.ru,51186,RU,disinformation
14,thegatewaypundit.com,5,True,66,True,True,True,False,,['Where Hope Finally Made a Comeback'],False,False,20,False,False,False,True,13335,None,True,False,False,90.0,1.0,US,Google Trust Services LLC,True,True,2960.0,1788.0,-1423.0,4748.0,True,"GoDaddy.com, LLC",US,"Domains By Proxy, LLC",cloudflare.com,13335,US,disinformation
15,dailymotion.com,2,True,38,True,False,True,False,,"['As mais recentes notícias, informações de desporto, música e vídeos de entretenimento no Dailymotion']",False,False,15,False,False,True,True,41690,FR,True,False,False,90.0,1.0,AT,ZeroSSL,True,True,5104.0,2566.0,-1098.0,7670.0,False,Nameshield SAS,FR,DAILYMOTION,dailymotion.com,41690,FR,disinformation
16,billboard.com,17,True,94,True,True,True,False,,"['Music Charts, News, Photos &amp;amp; Video']",False,False,13,False,False,False,True,2635,US,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,8154.0,2437.0,-1105.0,10591.0,False,"Network Solutions, LLC",,,awsdns-52.org,16509,US,disinformation
17,scc10.com.br,0,,,True,True,True,False,,"['Últimas notícias do Brasil e de Santa Catarina no telejornalismo mais confiável do país: entretenimento, esportes, segurança, empregos, clima, política e mais.']",True,False,12,True,False,False,True,28209,BR,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,-490.0,2316.0,-1588.0,1826.0,N/A,,,,,,,disinformation
18,channel23news.com,0,False,12,,,,,,,True,False,17,False,True,True,True,396982,US,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,780.0,1776.0,-1411.0,2556.0,True,"GoDaddy.com, LLC",US,"Domains By Proxy, LLC",domaincontrol.com,44273,US,disinformation
19,globalresearch.ca,4,True,120,True,True,True,False,,"['Global Research is a media group of writers, journalists and activists and based in Montreal, Canada, and a registered non profit organization.']",False,False,17,False,False,True,True,13335,US,False,False,False,365.0,2.0,US,"Cloudflare, Inc.",True,True,6491.0,4466.0,-822.0,10957.0,N/A,easyDNS Technologies Inc.,,,cloudflare.com,13335,US,disinformation
20,svetkolemnas.info,0,False,3,True,True,True,False,,"['Vítejte na našich stránkách, kde se dozvíte spoustu užitečných informací o světě hazardních her. Přiblížíme vám chod sázkových kanceláří a online kasin v ČR.']",False,False,17,True,False,False,True,21769,US,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,2078.0,1940.0,-1504.0,4018.0,True,DYNADOT LLC,US,Super Privacy Service LTD c/o Dynadot,dyna-ns.net,13335,None,disinformation
21,livejournal.com,6,True,41,True,False,True,False,,['Your life is the best story! Just start your blog today!'],False,False,15,False,False,True,True,24638,RU,True,False,False,397.0,1.0,BE,GlobalSign nv-sa,True,True,7265.0,1867.0,-1470.0,9132.0,False,"Regional Network Information Center, JSC dba RU-CENTER",RU,"LLC ""Rambler Group""",cdnetdns.net,54994,US,disinformation
22,ibtimes.com,3,True,94,,,,,,,False,False,11,False,False,True,True,14618,US,True,False,False,395.0,1.0,US,Amazon,True,True,4832.0,1742.0,-1345.0,6574.0,False,"MarkMonitor, Inc.",US,IBTimes LLC,awsdns-52.org,16509,US,disinformation
23,imhoclub.by,1,True,105,True,False,True,False,,['Территория особых мнений'],False,False,11,False,False,True,True,48347,RU,True,False,False,90.0,1.0,US,Let's Encrypt,True,True,,,,,False,,,,,,,disinformation
24,elitedaily.com,1,True,5,True,True,True,False,,"['Elite Daily is the ultimate digital destination for Gen Z women who are discovering the world, and themselves in the process. Elite Daily delivers authentic and relatable content across entertainment, dating, lifestyle, food, travel, astrology, fashion, and beauty.']",False,False,14,False,False,True,True,16509,US,True,False,False,394.0,1.0,US,Amazon,True,True,2745.0,4195.0,-1369.0,6940.0,True,"Amazon Registrar, Inc.",GB,Identity Protection Service,awsdns-62.org,16509,US,disinformation
25,belvpo.com,0,True,39,True,True,,False,,,False,False,10,False,False,False,True,13335,US,True,False,False,90.0,1.0,US,Google Trust Services LLC,True,True,2959.0,1789.0,-1412.0,4748.0,False,REGTIME LTD.,RU,Private person,cloudflare.com,13335,US,disinformation
26,noticiarelevante.com,1,False,1,,,,,,,False,False,20,False,False,False,True,13335,US,True,False,False,90.0,1.0,US,Google Trust Services LLC,True,True,-846.0,1942.0,-1585.0,1096.0,True,"GoDaddy.com, LLC",US,"Domains By Proxy, LLC",cloudflare.com,13335,US,disinformation
27,russtrat.ru,1,True,11,,,,,,,False,False,11,False,False,True,True,13335,US,True,False,False,90.0,1.0,US,Google Trust Services LLC,True,True,-380.0,1841.0,,1461.0,False,TIMEWEB-RU,,,cloudflare.com,13335,US,disinformation
28,trend.az,17,True,59,False,False,True,True,"['Azerbaijan&#39;s news, Georgia&#39;s news, Kazakhstan&#39;s news, Turkmenistan&#39;s news, Uzbekistan&#39;s news, Iran&#39;s news, Turkey&#39;s news, oil and gas news, politics, the Caspian Sea, Caspian news, Central Asia, the CIS news, economy, analytics, business news, financial news, company news, Breaking News, World News']","['Trend News Agency is a leading news provider from the Caucasus, Caspian and Central Asian regions. Latest news from Azerbaijan, Georgia, Kazakhstan, Turkmenistan, Uzbekistan, Iran and Turkey.']",False,False,8,False,False,True,True,13335,None,True,False,False,90.0,1.0,US,Google Trust Services LLC,True,True,,,,,False,,,,,,,disinformation
29,healthimpactnews.com,3,False,93,True,True,True,False,,['News that impacts your health that you may not have heard from other media sources!'],False,False,20,False,True,False,True,63949,US,True,False,False,90.0,5.0,US,Let's Encrypt,False,True,2976.0,1772.0,-1401.0,4748.0,False,"Epik, Inc.",US,"Anonymize, Inc.",linode.com,13335,None,disinformation
30,thewrap.com,9,True,66,True,True,True,False,,['The Essential Voice in Entertainment News. The Wrap News is the leading digital news organization covering the business of entertainment and media.'],False,False,11,False,False,False,True,54113,US,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,7123.0,2739.0,-1506.0,9862.0,True,"GoDaddy.com, LLC",US,"Domains By Proxy, LLC",cloudflare.com,13335,US,disinformation
31,rumble.com,0,False,158,True,True,True,False,,"['Rumble is your rights management video platform. Host, distribute and monetize all your professional, social and viral video.']",False,False,10,False,False,False,True,399647,CA,False,False,False,392.0,1.0,US,DigiCert Inc,True,True,7394.0,4293.0,-797.0,11687.0,True,"TUCOWS, INC.",CA,REDACTED FOR PRIVACY,awsdns-47.org,16509,US,disinformation
32,express.co.uk,5,True,189,True,False,True,False,,"['Latest news, showbiz, sport, comment, lifestyle, city, video and pictures from the Daily Express and Sunday Express newspapers and Express.co.uk']",False,False,13,True,False,True,True,None,US,True,False,False,394.0,2.0,US,Amazon,True,True,8252.0,1717.0,-1348.0,9969.0,N/A,"CSC Corporate Domains, Inc [Tag = CSC-CORP-DOMAINS]",,,n.,,,disinformation
33,corriere.it,9,True,217,True,False,True,True,"['notizie, corriere, giornale, news, milano, sport, meteo, milano, roma, torino, lavoro, salute, economia, foto, viaggi, libri, video, gossip, riviste, casa, cinema, automobili, ricette, musica, annunci, giochi, immobiliare, tv, radio']","['Notizie di cronaca, politica, economia e sport con foto e video. Meteo, salute, viaggi, musica e giochi online. Annunci di lavoro, immobiliari e auto.']",False,False,11,False,False,False,True,202095,IT,True,False,False,90.0,1.0,US,Let's Encrypt,True,True,8437.0,1613.0,-1264.0,10050.0,N/A,Tuonome Registrar S.r.l.,,,d.,,,disinformation
34,yournewswire.com,0,False,52,True,True,,False,,,False,False,16,False,True,True,True,13335,None,False,False,False,364.0,2.0,US,"Cloudflare, Inc.",True,True,1675.0,1978.0,-1052.0,3653.0,False,"Epik, Inc.",US,"Anonymize, Inc.",cloudflare.com,13335,US,disinformation
35,londonwebnews.com,6,False,19,False,True,,False,,,False,False,17,False,True,False,True,15169,GB,True,False,False,90.0,1.0,US,Let's Encrypt,True,True,716.0,1841.0,-1474.0,2557.0,True,"NameSilo, LLC",US,PrivacyGuardian.org llc,siteground.net,16509,US,disinformation
36,baltnews.com,2,True,14,True,True,True,False,,"['Качественная информация о событиях в странах Балтии и в мире: экономика, культура, происшествия, спорт, политика, путешествия. Все форматы: новостные ленты, авторские материалы, видео, комментарии.']",False,False,12,False,True,False,True,44479,RU,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,4118.0,1726.0,-1360.0,5844.0,True,"Regional Network Information Center, JSC dba RU-CENTER",RU,Privacy protection service - whoisproxy.ru,baltnews.com,44479,RU,disinformation
37,naturalnews.com,1,False,127,True,True,True,False,,['NaturalNews.com | Independent News on Natural Health and the World'],False,False,15,False,True,False,True,13335,None,False,False,False,365.0,2.0,US,"Cloudflare, Inc.",True,True,5128.0,1811.0,-1440.0,6939.0,False,"Epik, Inc.",US,"Anonymize, Inc.",cloudflare.com,13335,US,disinformation
38,deadline.com,4,True,62,True,True,True,False,,"['Deadline.com is always the first to break up-to-the-minute entertainment, Hollywood and media news, with an unfiltered, no-holds-barred analysis of events.']",False,False,12,False,False,False,True,2635,US,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,8581.0,1645.0,-1251.0,10226.0,True,"ENOM, INC.",US,REDACTED FOR PRIVACY,awsdns-16.com,16509,US,disinformation
39,estudosnacionais.com,5,True,35,True,True,True,False,,"['Portal agrega conteúdos em áudio, vídeo e texto com Notícias, Estudos avançados, Análises e Opinião, sobre temas envolvendo cenário político nacional e internacional. Projeto da editora Estudos Nacionais.']",False,False,20,False,False,False,True,13335,None,False,False,False,365.0,2.0,US,"Cloudflare, Inc.",True,True,1080.0,1842.0,-1470.0,2922.0,False,PDR Ltd. d/b/a PublicDomainRegistry.com,BR,DUO Marketing,cloudflare.com,13335,US,disinformation
40,jornaldacidadeonline.com.br,15,True,44,True,True,True,True,"['Jornal da Cidade Online, Notícias Campo Grande, Jornal Campo Grande, Notícias Passo Fundo, Jornal Passo Fundo']",['Um jornal consciente não abre mão do seu direito de crítica'],False,False,27,True,False,False,True,13335,None,False,False,False,365.0,2.0,US,"Cloudflare, Inc.",True,True,4205.0,3831.0,-174.0,8036.0,N/A,,,,,,,disinformation
41,vanityfair.com,5,True,46,True,False,True,False,,"['Entertainment, TV, politics, celebrity, fashion, and beauty news and commentary.']",False,False,14,False,False,False,True,54113,US,True,False,False,397.0,46.0,BE,GlobalSign nv-sa,True,True,8397.0,2196.0,-1461.0,10593.0,False,"CSC CORPORATE DOMAINS, INC.",US,"Advance Magazine Publishers, Inc.",awsdns-11.org,16509,US,disinformation
42,report.az,4,True,105,True,False,True,True,"['xeberler,xəbərlər,xeber,xəbər,Azerbaycan xeberleri,Azərbaycan xəbərləri']","['Xəbərlər və Hadisələr | Azərbaycan və dünyanın siyasət, iqdisadi, idman və mədəniyyət xəbərləri,\n     analitik materiallar. Xəbərləri bizimlə izləyin və paylaşın!']",False,False,9,False,False,True,True,13335,US,True,False,False,90.0,1.0,US,Google Trust Services LLC,True,True,,,,,False,,,,,,,disinformation
43,sjnoticiasma.blogspot.com,13,True,68,True,False,False,False,,,False,False,25,True,False,False,True,15169,US,True,False,False,84.0,138.0,US,Google Trust Services LLC,True,True,,,,,N/A,,,,,,,disinformation
44,celebrityinsider.org,9,True,126,,,,,,,False,False,20,False,False,True,True,13335,None,False,False,False,365.0,1.0,US,"Cloudflare, Inc.",True,True,933.0,1989.0,-1303.0,2922.0,True,"GoDaddy.com, LLC",US,"Domains By Proxy, LLC",cloudflare.com,13335,US,disinformation
45,fondsk.ru,0,False,47,True,False,True,False,,"['Аналитика, комментарии, дискуссии по вопросам международных отношений, мировой экономики, безопасности, истории, культуры. Будущее нового мира.']",False,False,9,False,False,False,True,213220,RU,True,False,False,397.0,1.0,BE,GlobalSign nv-sa,False,True,4824.0,1750.0,,6574.0,False,RD-RU,,,masterhost.ru,25532,RU,disinformation
46,verifiedph.blogspot.com,0,False,17,True,True,True,True,['ADMIN'],['ADMIN'],False,False,23,True,False,False,True,15169,US,True,False,False,84.0,138.0,US,Google Trust Services LLC,True,True,,,,,N/A,,,,,,,disinformation
47,aliadosbrasiloficial.com.br,10,True,63,True,False,True,False,,['Notícias Relevantes do Brasil e do Mundo. Compromisso com o fato. compromisso com a realidade.'],False,False,27,True,False,False,True,16276,CA,True,False,False,90.0,1.0,US,Let's Encrypt,True,True,-554.0,1649.0,-1287.0,1095.0,N/A,,,,,,,disinformation
48,lenta.ru,4,True,288,True,False,True,False,,"['Новости, статьи, фотографии, видео. Семь дней в неделю, 24 часа в сутки.']",False,False,8,False,False,False,True,24638,RU,True,False,False,397.0,1.0,BE,GlobalSign nv-sa,True,True,7167.0,1974.0,,9141.0,False,RU-CENTER-RU,,"LLC ""Lenta.Ru""",rambler.ru,24638,RU,disinformation
49,vancouvertimes.org,6,False,20,True,True,,False,,,False,False,18,False,False,True,True,13335,None,False,False,False,365.0,2.0,US,"Cloudflare, Inc.",True,True,-1014.0,1744.0,-1363.0,730.0,False,"Internet Invest, Ltd. dba Imena.ua",UA,"Internet Invest, Ltd. dba Imena.ua",cloudflare.com,13335,None,disinformation
50,republicadecuritiba.net,3,False,29,True,True,True,False,,['Informações com Opinião'],False,False,23,False,False,True,True,2635,US,True,False,False,90.0,29.0,US,Let's Encrypt,False,True,435.0,1756.0,-1365.0,2191.0,True,Automattic Inc.,US,"Knock Knock WHOIS Not There, LLC",wordpress.com,2635,US,disinformation
51,newsbreak.com,3,False,18,True,True,True,False,,"['NewsBreak provides latest and breaking New York City, NY local news, weather forecast, crime and safety reports, traffic updates, event notices, sports, entertainment, local life and other items of interest in the community and nearby towns.']",False,False,13,False,True,False,True,16509,US,True,False,False,394.0,1.0,US,Amazon,True,True,7854.0,3833.0,-1478.0,11687.0,True,"GoDaddy.com, LLC",US,"Domains By Proxy, LLC",awsdns-00.org,16509,US,disinformation
52,neonnettle.com,13,True,30,True,True,True,False,,"['Neon Nettle - Independent news, features, and information website and online media source']",False,False,14,False,False,False,True,13335,US,False,False,False,365.0,2.0,US,"Cloudflare, Inc.",True,True,2028.0,1990.0,-1594.0,4018.0,True,"TUCOWS, INC.",GB,REDACTED FOR PRIVACY,cloudflare.com,13335,US,disinformation
53,czechfreepress.cz,10,True,179,False,False,True,True,"['czech, free, press, nezávislé, zpravodajství, ekologie, politika, společnost, kultura']","['Czech Free Press - nezávislé zpravodajství na českém internetu. Ekologie, politika, společnost, kultura']",False,False,17,False,False,True,True,29134,CZ,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,2837.0,1912.0,-1241.0,4749.0,N/A,REG-INTERNET-CZ,,,onebit.eu,29134,CZ,disinformation
54,rusvesna.su,0,,,True,False,True,False,,['Русская весна. Новости Новороссии и Сирии. Только проверенная информация.'],False,False,11,True,False,True,True,13335,None,True,False,False,90.0,1.0,US,Google Trust Services LLC,True,True,1818.0,1835.0,,3653.0,False,RUCENTER-SU,,OBShchESTVO S OGRANIChENNOY OTVETSTVENNOSTU TEHNOSTROY,cloudflare.com,13335,US,disinformation
55,mejdurecie.md,0,True,29,False,False,,False,,,False,False,13,False,False,False,True,44388,MD,True,False,False,90.0,1.0,US,Let's Encrypt,True,True,,,,,False,ITCONCEPT SRL,,,,,,disinformation
56,douyin.com,1,False,11,,,,,,,False,False,10,False,False,False,True,133119,CN,True,False,False,364.0,1.0,US,DigiCert Inc,True,True,5056.0,2249.0,-800.0,7305.0,False,"eName Technology Co.,Ltd.",CN,,alidns.com,45102,CN,disinformation
57,people.com,4,True,204,,,,,,,False,False,10,False,False,False,True,54113,US,True,False,False,90.0,1.0,US,Let's Encrypt,True,True,9043.0,1914.0,-1516.0,10957.0,False,"MarkMonitor, Inc.",US,TI Gotham Inc.,nsone.net,62597,US,disinformation
58,tlgrm.ru,0,True,46,True,False,True,False,,"['На нашем неофициальном сайте можно скачать удобный, быстрый и безопасный мессенджер Telegram. Шифрование сообщений, групповые чаты, поддержка YouTube, отправка любых файлов без ограничений. Клиенты для любой ОС.']",False,False,8,False,False,False,True,13335,US,True,False,False,90.0,1.0,US,Let's Encrypt,True,True,1846.0,1806.0,,3652.0,False,RU-CENTER-RU,,,cloudflare.com,13335,US,disinformation
59,livenews.am,4,True,38,True,True,True,False,,['Live News'],False,False,11,False,True,True,True,13335,US,True,False,False,90.0,1.0,US,Let's Encrypt,True,True,,,,,False,globalar (GlobalAR LLC),,,,,,disinformation
60,cbnjoaopessoa.com.br,0,,,True,True,True,False,,['A Rádio que toca Notícia.'],False,False,20,True,False,False,True,4230,BR,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,2616.0,1767.0,-1402.0,4383.0,N/A,,,,,,,disinformation
61,zerohedge.com,8,False,64,False,False,True,False,,"['ZeroHedge - On a long enough timeline, the survival rate for everyone drops to zero']",False,False,13,False,False,False,True,396982,US,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,3706.0,2503.0,-1400.0,6209.0,False,"easyDNS Technologies, Inc.",REDACTED FOR PRIVACY,ABC Media Ltd,easydns.com,13335,CA,disinformation
62,rollingstone.com,4,True,48,True,True,True,False,,['Get the latest Rolling Stone news with exclusive stories and pictures from Rolling Stone.'],False,False,16,False,False,False,True,2635,US,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,8932.0,1659.0,-1251.0,10591.0,False,"CSC CORPORATE DOMAINS, INC.",US,Wenner Media,awsdns-50.org,16509,US,disinformation
63,agi.it,8,False,43,True,True,True,False,,"['Ultime notizie AGI - Agenzia Giornalistica Italia: News online di Cronaca, Economia, Politica, Estero, Spettacolo, Sport, Cronaca Locale - AGI.it']",False,False,6,False,False,False,True,16509,IE,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,6035.0,1635.0,-1286.0,7670.0,N/A,BT Italia s.p.a.,,,n.,,,disinformation
64,plantaobrasil.net,13,True,30,True,True,True,True,"['Plantão Brasil, Notícias, política, economia, presidente, governo, brasil, stf']",['plantaobrasil.net - Notícias atualizadas sobre economia e política!'],False,False,17,False,False,False,True,19318,US,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,1583.0,1704.0,-1324.0,3287.0,False,"Launchpad, Inc. (HostGator)",PL,GDPR Masked,interserver.net,19318,US,disinformation
65,childrenshealthdefense.org,15,True,409,True,True,True,False,,"['Help Children’s Health Defense and RFK, Jr. end the epidemic of poor health plaguing our children.']",False,False,26,False,False,False,True,13335,None,False,False,False,365.0,2.0,US,"Cloudflare, Inc.",True,True,286.0,1906.0,-1585.0,2192.0,True,Google LLC,CA,Contact Privacy Inc. Customer 7151571251,cloudflare.com,13335,US,disinformation
66,rothbardbrasil.com,0,True,9,,,,,,,False,False,18,False,False,False,True,13335,US,True,False,False,90.0,1.0,US,Google Trust Services LLC,True,True,1274.0,2014.0,-1588.0,3288.0,True,"ENOM, INC.",BR,REDACTED FOR PRIVACY,cloudflare.com,13335,US,disinformation
67,mediamass.net,0,True,44,False,False,True,False,,"['Celebrity News and Celebrity Gossip from Mediamass Weekly.\nGet your fix of the hottest breaking news, celebrity photos, fashion, videos and games.']",False,False,13,False,False,True,True,29169,FR,True,False,False,395.0,1.0,FR,Gandi,False,True,2404.0,3074.0,-1395.0,5478.0,False,GANDI SAS,CN,Mediamass,gandi.net,209453,US,disinformation
68,kmvt.com,26,True,39,True,True,True,True,"['kmvt,news,weather,sports,idaho,live']","['KMVT | Homepage | Twin Falls, ID']",False,False,8,False,False,False,True,16509,US,True,False,False,394.0,1.0,US,Amazon,False,True,8184.0,1860.0,-1292.0,10044.0,True,"GoDaddy.com, LLC",US,"Domains By Proxy, LLC",domaincontrol.com,44273,US,disinformation
69,odocumento.com.br,0,,,True,True,True,False,,"[['O Documento – Tradição tem força', 'edit post Policial Dupla encapuzada invade bar e executa homem que jogava sinuca com tiros na cabeça; veja vídeo by Da Redação 1 hora ago edit post Política MT “Foge do povo igual o diabo da cruz”, diz deputado após Lula recusar convite da Marcha Para Jesus by Da Redação 1 hora ago edit post […]']]",False,False,17,True,False,False,True,13335,US,True,False,False,90.0,1.0,US,Google Trust Services LLC,True,True,6376.0,2025.0,-771.0,8401.0,N/A,,,,,,,disinformation
70,etonline.com,4,True,552,True,True,True,True,"['Entertainment Tonight, ETonline, ET, celebrity news, entertainment news, entertainment']","[""Entertainment Tonight (ET) is the authoritative source on entertainment and celebrity news with unprecedented access to Hollywood's biggest stars, upcoming movies, and TV shows.""]",False,False,12,False,False,False,True,16509,US,True,False,False,90.0,1.0,US,Let's Encrypt,False,True,7842.0,2019.0,-1256.0,9861.0,False,"MarkMonitor, Inc.",US,CBS Studios Inc.,nsone.net,62597,US,disinformation
71,mediamonitoring.ge,0,False,15,False,False,,False,,,False,False,18,False,False,True,True,57814,GE,True,False,False,372.0,1.0,US,"DigiCert, Inc.",True,True,,,,,False,,,,,,,disinformation
72,trendolizer.com,9,True,69,True,True,True,False,,['Most trending on the web right now'],False,False,15,False,False,True,True,60781,NL,True,False,False,90.0,2.0,US,Let's Encrypt,False,True,2487.0,1896.0,-1531.0,4383.0,True,Key-Systems GmbH,US,REDACTED FOR PRIVACY,je-eigen-domein.nl,13213,NL,disinformation
73,usatoday.com,1,True,17,True,False,True,False,,"['USA TODAY delivers current national and local news, sports, entertainment, finance, technology, and more through award-winning journalism, photos, and videos.']",False,False,12,False,False,True,True,54113,DE,True,False,False,90.0,15.0,US,Let's Encrypt,True,True,9077.0,2247.0,-1532.0,11324.0,False,"GoDaddy Corporate Domains, LLC",US,Gannett Media Corp,nsone.net,62597,US,disinformation
74,noticiasdebrasilia.com,9,True,20,True,False,True,False,,['Notícias de Brasília'],False,False,22,False,False,False,True,15169,US,True,False,False,90.0,1.0,US,Google Trust Services LLC,False,True,421.0,1770.0,-1374.0,2191.0,True,"ENOM, INC.",BR,REDACTED FOR PRIVACY,locaweb.com.br,27715,BR,disinformation
75,mirror.co.uk,5,True,28,True,False,True,False,,"['Get the latest news, sport, celebrity gossip, TV, politics and lifestyle from The Mirror. Big stories with a big heart, always with you in mind.']",False,False,12,True,False,False,True,16509,IE,True,False,False,394.0,93.0,US,Amazon,False,True,8252.0,2013.0,0.0,10265.0,N/A,"CSC Corporate Domains, Inc [Tag = CSC-CORP-DOMAINS]",,,n.,,,disinformation
